variant,jur,analytic_candidate_mass,analytic_contributions,documents,privacy_family_share,privacy_posture,state_privacy_raw,raw_cash_substitution,raw_financial_inclusion,raw_sovereignty_competition,raw_payment_modernization,raw_monetary_transmission,raw_state_control,score_cash_substitution,score_financial_inclusion,score_sovereignty_competition,score_payment_modernization,score_monetary_transmission,score_state_control,state_privacy_score,score_cash_substitution_ungated,dominant_centre,dominant_score,second_score,mixed_case,iso3,country,cluster,is_composite
claude,IT,134,136,1,0.448275862069,0.200559701493,0.647058823529,0.184119677791,0.0494821634062,0.105408515535,0.289298043728,0.27663981588,0.18504027618,0.539141972227,0.419511398625,0.758706968182,0.46057724704,0.740514332636,0.669997916455,0.749907364521,0.643797895247,sovereignty_competition,0.758706968182,0.740514332636,True,ITA,Italy,sovereignty_competition,False
claude,JP,47,47,4,0.2,0.0425531914894,1,0.00641025641026,0,0.0346153846154,0.283974358974,0.238461538462,0.0384615384615,0.0753533653846,0.05,0.459821428571,0.451300271233,0.689358738217,0.190166083916,0.95,0.0778846153846,monetary_transmission,0.689358738217,0.459821428571,False,JPN,Japan,sovereignty_competition,False
claude,MG,25,25,3,,0,0,0.292537313433,0.240298507463,0.044776119403,0.392537313433,0.0746268656716,0,0.51256722818,0.808833445137,0.525974806291,0.735012405272,0.382480879662,0.05,0.403610441696,0.837053837753,financial_inclusion,0.808833445137,0.735012405272,True,MDG,Madagascar,financial_inclusion,False
claude,MO,97,97,1,0.421052631579,0.146907216495,0.791666666667,0.274871794872,0.149230769231,0.075641025641,0.353846153846,0.0220512820513,0.188717948718,0.717539407053,0.652617670369,0.644447055675,0.622219812206,0.10803428026,0.680153743682,0.83188976378,0.805564805373,cash_substitution,0.717539407053,0.680153743682,True,MAC,Macau,monetary_transmission,False
claude,NA,3,4,1,,0,0,0.466666666667,1.06666666667,0,0,0,0,0.581729447748,0.95,0.05,0.05,0.05,0.05,0.403610441696,0.95,financial_inclusion,0.95,0.581729447748,False,NAM,Namibia,,False
claude,NO,259,261,6,0.348837209302,0.0533301158301,0.707317073171,0.113031161473,0.0403682719547,0.0225212464589,0.236685552408,0.12492917847,0.0347025495751,0.444506732887,0.351452798407,0.316635471469,0.368895483059,0.537235181217,0.176467132372,0.784069521798,0.517081626801,monetary_transmission,0.537235181217,0.444506732887,True,NOR,Norway,cash_substitution,False
claude,NZ,61,61,2,0.875,0.106557377049,1,0.196875,0.16,0.00625,0.334375,0.128125,0.055,0.644872065263,0.671090993205,0.123995535714,0.56545744179,0.541517306055,0.2504375,0.95,0.666534434381,financial_inclusion,0.671090993205,0.644872065263,True,NZL,New Zealand,cash_substitution,False
claude,PE,67,67,2,0.272727272727,-0.0130597014925,-0.21875,0.230263157895,0.3375,0.00394736842105,0.293421052632,0.134868421053,0.119078947368,0.396347700693,0.95,0.0967340225564,0.467761942531,0.55055290786,0.483961572967,0.301379091981,0.726049289914,financial_inclusion,0.95,0.55055290786,False,PER,Peru,monetary_transmission,False
claude,PH,7,7,1,0,0,0,0,0.1,0.14,0.83,0,0,0.0306173393551,0.568168194549,0.891483362917,0.95,0.05,0.05,0.403610441696,0.05,payment_modernization,0.95,0.891483362917,True,PHL,Philippines,monetary_transmission,False
claude,PW,37,37,1,0.428571428571,-0.135135135135,-1,0.105263157895,0.2375,0.289473684211,0.238815789474,0.0394736842105,0.123684210526,0.192487407562,0.804032941468,0.95,0.372607603261,0.198979899819,0.500564233721,0.05,0.50323505245,sovereignty_competition,0.95,0.804032941468,False,PLW,Republic of Palau,financial_inclusion,False
claude,PY,3,3,1,,0,0,0.2,0,0,0,0,0.25,0.411561208947,0.05,0.05,0.05,0.05,0.849383037048,0.403610441696,0.672104790317,state_control,0.849383037048,0.411561208947,False,PRY,Banco Central del Paraguay (2024 design paper) — composite,financial_inclusion,False
claude,RU,232,233,3,0.357142857143,-0.0495689655172,-0.456140350877,0.0665841584158,0.0758663366337,0.0387376237624,0.29900990099,0.130321782178,0.211757425743,0.160916375972,0.526769791625,0.502796567681,0.477500988588,0.544460804445,0.743776849221,0.19043629893,0.339641089109,state_control,0.743776849221,0.544460804445,False,RUS,Russian Federation,state_control,False
claude,RW,4,4,1,,0,0,0,0,0,0.05,0.166666666667,0.5,0.0306173393551,0.05,0.05,0.05,0.593159810681,0.95,0.403610441696,0.05,state_control,0.95,0.593159810681,False,RWA,Rwanda,financial_inclusion,False
claude,SE,64,67,3,0.375,0.03515625,0.642857142857,0.422077922078,0.0831168831169,0.0266233766234,0.287012987013,0.102597402597,0.0324675324675,0.794096878515,0.539207233889,0.365201762523,0.456595340364,0.507312530263,0.16832201889,0.747525309336,0.95,cash_substitution,0.794096878515,0.539207233889,False,SWE,Sweden,cash_substitution,False
claude,SG,90,90,2,0.1875,0.00555555555556,-0.25,0.0359861591696,0.0553633217993,0.0217993079585,0.23875432526,0.0155709342561,0.285121107266,0.110788667266,0.463429346301,0.308088235294,0.372500496613,0.0742066117321,0.946369349363,0.28677461345,0.206539792388,state_control,0.946369349363,0.463429346301,False,SGP,Singapore,sovereignty_competition,False
claude,SZ,150,153,1,0.44262295082,0.03,0.20625,0.201428571429,0.130714285714,0.0319642857143,0.358214285714,0.153035714286,0.148214285714,0.455389586153,0.62085486529,0.428434311224,0.6349538043,0.574895511747,0.568303599545,0.5,0.674651238745,payment_modernization,0.6349538043,0.62085486529,True,SWZ,Eswatini,financial_inclusion,False
